,Number,Gender,NameSet,GivenName,Surname,StreetAddress,City,StateFull,ZipCode,CountryFull,EmailAddress,TelephoneNumber,Birthday,Age,Occupation,Company,Vehicle,BloodType,Kilograms,FeetInches,CrimeType,Area,Crime by Area
10,11,male,American,Hector,Smith,2221 Kinchant St,Prince George,British Columbia,V2N 2S6,Canada,LeroyTSmith@dayrep.com,250-962-8161,10-04-1985,37,Semiconductor assembler,Elek-Tek,2003 Chevrolet SSR,O+,92.6,"5' 10""",Other Theft,Oakville,7
11,12,male,American,William,Wilson,1256 Wascana Parkway,Regina,Saskatchewan,S4S 2R3,Canada,RonaldAWilson@einrot.com,306-352-4614,11-01-1992,30,Sales worker driver,Target Source,2005 Vauxhall Omega,A+,102.1,"5' 8""",Mischief,Central,41
12,13,female,American,Tracy,Stewart,3134 St. Paul Street,Niagara Falls,Ontario,L2E 4E6,Canada,JenniferJStewart@jourrapide.com,905-351-5965,12/16/1975,47,Etcher,Acuserv,2003 Isuzu Axiom,B+,51.4,"5' 3""",Break and Enter Residential/Other,Kitsilano,193
13,14,male,American,Patricia,Taylor,3958 rue des Églises Est,Remigny,Quebec,J0Z 3H0,Canada,GregoryFTaylor@fleckens.hu,819-761-4628,11-11-1995,27,Ornamental ironworker,Mode O'Day,2012 Peugeot 4007,A-,74.5,"6' 0""",Break and Enter Residential/Other,West Point Grey,8
14,15,female,American,Reginald,Brooking,1631 Heritage Drive,Calgary,Alberta,T2V 2W2,Canada,LilaOBrooking@dayrep.com,403-370-6774,3/28/1994,28,Biophysicist,Four Leaf Clover,2003 Bristol Fighter,O+,62.9,"5' 8""",Break and Enter Residential/Other,The West End,8
15,16,male,American,Marie,Hansley,3221 Dry Pine Bay Rd,White River,Ontario,P0M 3G0,Canada,JohnnyMHansley@rhyta.com,807-822-3933,10-03-1981,41,Social work policy maker,Gas Depot,2001 BMW X5,A+,97.7,"6' 2""",Break and Enter Commercial,West Point Grey,47
16,17,male,American,Anne,Lint,1924 Bank St,Ottawa,Ontario,K1H 7Z1,Canada,JamesCLint@dayrep.com,613-774-2468,6/29/1974,48,Ophthalmic nurse,Merry-Go-Round,1998 Daewoo Arcadia,O+,64.3,"5' 6""",Break and Enter Residential/Other,Kitsilano,726
17,18,female,American,Latisha,Underwood,4147 Summerfield Blvd,Airdrie,Alberta,T4B 2C2,Canada,JovanPUnderwood@cuvox.de,403-948-3752,1/28/1988,35,Photoengraver,Bettendorf's,2008 MG ZT-T,B+,72.0,"5' 2""",Other Theft,Grandview,100
18,19,male,American,Daniel,Swope,1439 Ross Street,Kingston,Ontario,K7M 7H6,Canada,JasonNSwope@cuvox.de,613-583-0813,4/29/1996,26,Paratransit driver,First Rate Choice,2014 Subaru Forester,A+,98.7,"5' 10""",Offence Against a Person,Mount Pleasant,7
19,20,female,American,Gayle,Shifflett,596 Thurston Dr,Ottawa,Ontario,K1G 0Z2,Canada,NicolePShifflett@cuvox.de,613-882-9471,6/27/1995,27,Log debarker,Hit or Miss,2011 GMC Sierra,A+,50.9,"5' 7""",Other Theft,Oakville,645
20,21,male,American,William,Maddox,3173 Robson St,Vancouver,British Columbia,V6B 3K9,Canada,RichardKMaddox@dayrep.com,604-844-2100,09-09-2000,22,Commercial lender,Master Builder Design Services,1995 Saab 900,O+,99.3,"5' 10""",Other Theft,The West End,13
21,22,female,American,Leon,Silva,1092 Birkett Lane,Brantford,Ontario,N3T 2Z8,Canada,PatJSilva@rhyta.com,519-753-2748,02-02-1996,27,Operations research analyst,HomeBase,2012 Citroen C-Crosser,A+,67.7,"5' 9""",Other Theft,Oakville,645
22,23,female,American,Christopher,Skidmore,4920 Eglinton Avenue,Toronto,Ontario,M4P 1A6,Canada,NelidaGSkidmore@rhyta.com,416-908-8211,7/22/1992,30,Manufacturing optician,Smitty's Marketplace,1992 Mercedes-Benz 600,O+,68.5,"5' 8""",Other Theft,Kitsilano,7
23,24,female,American,Dennis,Lesher,4030 Cork St,Guelph,Ontario,N1H 2W8,Canada,BarbaraTLesher@armyspy.com,519-838-4735,4/28/1975,47,Personal and home care aide,Avant Garde Appraisal Group,2006 Nissan Navara,O+,59.6,"5' 5""",Offence Against a Person,Oakville,645
24,25,male,American,Rose,Bessette,4703 Riedel Street,Fort Mcmurray,Alberta,T9H 3J9,Canada,MichaelTBessette@rhyta.com,780-799-6177,11/19/1994,28,Coatroom attendant,Castle Realty,2009 GMC Acadia,A+,72.6,"6' 2""",Mischief,Grandview,845
25,26,female,American,Cecil,Glass,483 St Jean Baptiste St,Baie St Paul,Quebec,G0A 1B0,Canada,KathleenJGlass@fleckens.hu,418-435-6672,11-11-1991,31,Food scientist,Child World,2005 Maserati Coupe,B-,95.8,"5' 7""",Mischief,West Point Grey,98
26,27,female,American,Barbara,Mathieu,3230 Pine Street,Castor,Alberta,T0C 0X0,Canada,JoyceCMathieu@rhyta.com,403-882-8474,10/28/1978,44,Embalmer,Furrow's,1999 Chevrolet Suburban,O+,95.6,"5' 7""",Mischief,West Point Grey,47
27,28,male,American,Glenn,Wilson,2082 Orenda Rd,Brampton,Ontario,L6W 1Z2,Canada,DannySWilson@gustr.com,905-863-4139,5/13/1993,29,Blankbook binding worker,Crafts Canada,2009 Opel Antara,B+,64.0,"5' 10""",Mischief,Latchford,13
28,29,female,American,Ida,Burton,2871 11th Ave,Calgary,Alberta,T2P 1M6,Canada,MonicaJBurton@superrito.com,403-263-9829,9/24/1995,27,Textile machine operator,Formula Grey,2001 Land Rover Freelander,A-,83.3,"5' 8""",Other Theft,South Vancouver,645
29,30,female,American,Peggy,Lee,4673 Fallon Drive,Harrow,Ontario,N0R 1G0,Canada,ElaineGLee@jourrapide.com,519-738-5282,03-12-1977,45,Corporate accountant,Jacobs,2011 Fiat Multipla,O+,77.2,"5' 7""",Theft from Vehicle,South Granville,645
30,31,male,American,Brandon,Coppa,2871 St. John Street,Invermay,Saskatchewan,S4P 3Y2,Canada,AlanSCoppa@einrot.com,306-593-0279,8/29/2003,19,Press relations specialist,La Petite Boulangerie,1997 Toyota Venture,A+,74.8,"5' 7""",Theft from Vehicle,South Vancouver,7
31,32,female,American,Daniel,Holmes,4233 Côte Joyeuse,Chute Des Passes,Quebec,H0H 0H0,Canada,MaryAHolmes@gustr.com,418-377-3666,6/27/1972,50,Railroad signal operator,Powerbod,2003 Honda HR-V,AB+,52.7,"5' 6""",Offence Against a Person,Central,33
32,33,male,American,Russell,Gallardo,2459 Water Street,Kitchener,Ontario,N2H 5A5,Canada,MatthewJGallardo@superrito.com,519-579-0369,12/23/1981,41,Finance officer,Omni Tech Solutions,2010 Suzuki Grand Vitara,B+,98.5,"5' 7""",Offence Against a Person,Grandview,845
33,34,female,American,Winston,Lett,440 Parkdale Avenue,Hamilton,Ontario,L8K 1A4,Canada,SueWLett@jourrapide.com,905-544-8810,12-09-1990,32,General office clerk,Fretter,2011 Scion xD,O+,60.2,"5' 5""",Offence Against a Person,Mount Pleasant,41
34,35,male,American,Larry,Mason,235 Hammarskjold Dr,Burnaby,British Columbia,V5B 3C9,Canada,ChristopherMMason@fleckens.hu,604-918-4165,1/23/1997,26,Personnel development specialist,Coon Chicken Inn,2005 Ford Thunderbird,B+,103.8,"5' 9""",Offence Against a Person,South Vancouver,645
35,36,male,American,Sandy,Rodriguez,639 Islington Ave,Toronto,Ontario,M8V 3B6,Canada,AndrewPRodriguez@rhyta.com,647-229-6010,6/23/1984,38,Safety engineer,New World Realty,2008 Skoda Roomster,A+,75.0,"5' 7""",Offence Against a Person,South Vancouver,41
36,37,female,American,Edward,Cieslak,3966 rue Saint-Antoine,Granby,Quebec,J2H 2H5,Canada,KristinDCieslak@cuvox.de,450-525-0890,01-02-2004,19,Transportation inspector,Lazysize,1996 Opel Astra,A+,73.9,"5' 3""",Theft from Vehicle,Kitsilano,98
37,38,female,American,Steven,Romero,2487 11th Ave,Calgary,Alberta,T2P 1M6,Canada,DeborahARomero@superrito.com,403-691-5799,02-06-1973,50,Dipper,ABCO Foods,1999 Chevrolet Camaro,A+,63.1,"5' 2""",Theft from Vehicle,West Point Grey,41
38,39,male,American,John,Busby,1626 Kennedy Rd,Peterborough,Ontario,K9J 6Y1,Canada,JosephCBusby@dayrep.com,705-761-9392,6/18/2000,22,Phlebotomist,Media Play,2005 Holden Cruze,AB+,56.4,"5' 9""",Mischief,Oakville,10
39,40,female,American,Glenn,Bias,1714 Robson St,Vancouver,British Columbia,V6B 3K9,Canada,KellyRBias@superrito.com,604-689-4059,08-04-2002,20,Public address system announcer,Lindsley's Lumber,2010 BMW M6,O-,65.1,"5' 1""",Theft from Vehicle,Oakville,47
40,41,male,American,David,Ault,3750 Water Street,Kitchener,Ontario,N2H 5A5,Canada,BrianVAult@superrito.com,519-501-3432,08-06-1987,35,Mental health aide,System Star,2009 GMC Canyon,B+,77.9,"5' 7""",Mischief,West Point Grey,5
41,42,male,American,Gertrude,Kohr,1466 Nelson Street,Wawa,Ontario,P0S 1K0,Canada,JohnIKohr@superrito.com,705-889-4094,06-06-1980,42,Disc jockey,E.J. Korvette,2006 Smart Roadster,A+,91.1,"6' 1""",Theft from Vehicle,South Granville,47
42,43,male,American,Joshua,Lee,2734 Albert Street,Aylmer,Ontario,N5H 1L2,Canada,RichardRLee@fleckens.hu,519-773-0237,8/15/1978,44,Office administrative assistant,Total Serve,2004 Skoda Superb,B+,116.9,"5' 7""",Other Theft,South Vancouver,5
43,44,male,American,Vonda,Morrissey,3041 Eglinton Avenue,Toronto,Ontario,M4P 1A6,Canada,JohnEMorrissey@gustr.com,416-517-5322,6/23/1981,41,Attorney,Gold Medal,1996 Lotus Elan,O+,85.3,"5' 6""",Other Theft,Mount Pleasant,9
44,45,female,American,Fernando,Leon,4711 Tycos Dr,Toronto,Ontario,M5T 1T4,Canada,DorisDLeon@teleworm.us,416-598-3466,3/16/1992,30,Typesetting machine tender,Crafts & More,2007 Lancia Phedra,A+,99.6,"5' 8""",Offence Against a Person,South Vancouver,2198
45,46,female,American,Julia,McLean,3228 137th Avenue,Edmonton,Alberta,T5C 2L2,Canada,LydiaAMcLean@teleworm.us,780-472-1138,8/20/1978,44,Finance manager,Clemens Markets,2003 Studebaker Avanti,O+,69.5,"5' 3""",Mischief,Latchford,100
46,47,male,American,Audra,Langlais,1274 Queens Bay,Kaslo,British Columbia,V0G 1K0,Canada,LarryWLanglais@teleworm.us,250-353-6542,11-11-1998,24,Physical geographer,Dahlkemper's,2015 BMW M3,B+,75.7,"6' 1""",Mischief,Latchford,193
47,48,male,American,Allison,Craig,4337 Alness Street,Toronto,Ontario,M3J 2J1,Canada,BriceMCraig@jourrapide.com,416-650-5115,10-06-1981,41,Payroll specialist,The Happy Bear,1999 Oldsmobile Aurora,O+,101.7,"6' 2""",Other Theft,South Granville,229
48,49,female,American,Anna,Perez,918 Venture Place,Slave Lake,Alberta,T0G 2A2,Canada,KathleenDPerez@jourrapide.com,780-843-7017,5/21/1992,30,Community support worker,Desert Garden Help,2010 Mazda Premacy,A+,50.9,"5' 9""",Other Theft,Oakville,53
49,50,male,American,Maria,Goebel,4770 Brew Creek Rd,Port Mcneill,British Columbia,V0N 2R0,Canada,JuanLGoebel@einrot.com,250-956-6186,11-05-1981,41,Critical care nurse,HouseWorks!,2005 Dodge Grand Caravan,B+,102.9,"5' 9""",Other Theft,Grandview,47
50,51,male,American,Eunice,Smith,2143 Lockhart Drive,Barrie,Ontario,L4M 3B1,Canada,GeorgeJSmith@superrito.com,705-331-4115,3/21/2001,21,Caregiver,Reliable Guidance,2006 Chevrolet Nubira,A+,72.9,"5' 9""",Break and Enter Residential/Other,South Vancouver,726
51,52,male,American,Micheal,Hershey,2672 St Marys Rd,Winnipeg,Manitoba,R2X 2Y7,Canada,MarcMHershey@einrot.com,204-399-9524,4/15/1972,50,Technical sales support worker,Computer City,2012 Lexus GS,B+,72.4,"5' 6""",Other Theft,Central,5
52,53,female,American,Adam,Adkins,1766 Bank St,Ottawa,Ontario,K1H 7Z1,Canada,MarthaLAdkins@fleckens.hu,613-736-1307,7/19/1990,32,Cardiac sonographer,Bell Markets,2014 Ford Expedition,O+,61.5,"5' 3""",Other Theft,The West End,53
53,54,female,American,Dane,Cooke,404 Acton Avenue,Toronto,Ontario,M3H 4J1,Canada,AshleyWCooke@superrito.com,416-633-5183,08-04-1997,25,Bureau of Diplomatic Security special agent,Mostow Co.,2009 Audi S6,O+,65.7,"5' 9""",Other Theft,South Vancouver,10
54,55,male,American,Lindsey,Tesch,2393 McGill Road,Kamloops,British Columbia,V2C 5R8,Canada,EdLTesch@rhyta.com,250-705-9321,08-08-1990,32,Longshoremen,American Wholesale Club,2004 Marcos TSO,B+,64.4,"6' 2""",Break and Enter Residential/Other,Oakville,53
55,56,male,American,Larry,Johnson,3718 Lock Street,Dunnville,Ontario,N1A 2H9,Canada,RicardoCJohnson@dayrep.com,905-229-2731,6/16/1979,43,Mason,Source Club,2015 Ford Focus,O+,114.5,"5' 8""",Break and Enter Residential/Other,Grandview,33
56,57,female,American,Mary,Hicks,3849 Nelson Street,Sioux Narrows,Ontario,P0X 1N0,Canada,LindaLHicks@cuvox.de,807-226-9477,07-10-1980,42,Health care translator,Mr. AG's,2009 Holden Caprice,O+,61.2,"5' 4""",Other Theft,Kitsilano,41
57,58,male,American,Thomas,Richardson,3890 Pitt St,Cornwall,Ontario,K6J 3R2,Canada,MartinCRichardson@rhyta.com,613-930-5078,12-06-1995,27,Correspondence clerk,House of Gas,1997 Ferrari F355,A+,71.2,"5' 7""",Other Theft,Mount Pleasant,41
58,59,male,American,Margaret,Pehrson,3570 rue Levy,Montreal,Quebec,H3C 5K4,Canada,FrankLPehrson@rhyta.com,514-607-5045,10/14/1997,25,Applications engineer,Star Merchant Services,2002 Mazda Tribute,A+,103.6,"5' 9""",Offence Against a Person,Grandview,845
59,60,female,American,Maria,Harmon,3488 rue Saint-Charles,Longueuil,Quebec,J4H 1M3,Canada,JessicaOHarmon@dayrep.com,450-928-7128,12-05-1978,44,Meat cutter,Pioneer Chicken,2005 Pontiac Vibe,A+,76.7,"5' 8""",Other Theft,Mount Pleasant,41
60,61,female,American,David,Staats,1408 Eglinton Avenue,Toronto,Ontario,M4P 1A6,Canada,JanaDStaats@armyspy.com,416-258-2846,07-11-1991,31,Coil finisher,Dream Home Real Estate Service,2007 Acura MDX,B+,102.8,"5' 5""",Theft from Vehicle,West Point Grey,13
61,62,male,American,Grace,Lawson,4470 MacLaren Street,Ottawa,Ontario,K1P 5M7,Canada,EdwardJLawson@rhyta.com,613-212-6568,10/22/1975,47,Gerontology aide,Stratagee,1995 Mercury Villager,A+,83.9,"6' 2""",Theft from Vehicle,Latchford,13
62,63,male,American,Otis,Slemp,1880 Fourth Avenue,Calgary,Alberta,T2P 0H3,Canada,ThomasLSlemp@cuvox.de,403-681-5720,12-01-1996,26,Treasurer,"Warehouse Club, Inc.",2009 Tata Safari,A+,78.6,"5' 11""",Theft from Vehicle,Mount Pleasant,726
63,64,female,American,Jason,Wise,3783 Royal Avenue,New Westminster,British Columbia,V3L 5H1,Canada,ElizabethJWise@gustr.com,778-896-1332,5/13/1994,28,Florist,Dick Fischers,2006 Chrysler PT Cruiser,AB+,48.2,"5' 8""",Theft from Vehicle,South Vancouver,7
64,65,male,American,Lisa,Pryor,185 Dystant Road,Ellerslie,Prince Edward Island,C0B 1J0,Canada,IvanMPryor@superrito.com,902-831-8833,4/23/1993,29,Publicist,Omni Architectural Designs,2000 Alfa Romeo 147,A+,101.8,"5' 8""",Other Theft,South Vancouver,5
65,66,female,American,Monica,Huber,4597 MacLaren Street,Ottawa,Ontario,K1P 5M7,Canada,DorothyJHuber@gustr.com,613-238-3510,1/21/1997,26,Attorney,Saturday Matinee,2002 Buick LeSabre,A-,71.4,"5' 2""",Mischief,Latchford,98
66,67,male,American,Myron,Drennan,1566 Water Street,Kitchener,Ontario,N2H 5A5,Canada,LarryRDrennan@gustr.com,519-744-0444,09-08-2003,19,Milling and planing machine operator,Prahject Planner,2006 Nissan Titan,B+,95.7,"5' 5""",Other Theft,Latchford,726
67,68,male,American,Mark,Levin,234 Derry Rd,Malton,Ontario,L4T 1A8,Canada,BrianALevin@rhyta.com,416-771-4866,4/30/1993,29,Executive secretary,Channel Home Centers,2003 Opel Meriva,B+,87.8,"6' 2""",Other Theft,West Point Grey,41
68,69,male,American,James,Horowitz,3425 Algoma St,Thunder Bay,Ontario,P7A 4T3,Canada,RichardMHorowitz@dayrep.com,807-939-6813,9/22/1994,28,Multiple machine tool operator,Envirotecture Design Service,1994 Oldsmobile Achieva,B+,88.4,"5' 9""",Mischief,Oakville,193
69,70,male,American,Joan,Coffey,2302 River Street,Brights Grove,Ontario,N0N 1C0,Canada,JamesGCoffey@jourrapide.com,519-869-3030,7/23/1993,29,Copy marker,LaBelle's,2004 Volkswagen Jetta,A+,65.1,"5' 9""",Break and Enter Commercial,Oakville,41
70,71,female,American,Hattie,Caldwell,3149 Island Hwy,Campbell River,British Columbia,V9W 2C9,Canada,DebraJCaldwell@einrot.com,250-201-7804,9/30/1989,33,Vocational education teacher,American Appliance,1997 Hyundai Satellite,O-,62.5,"5' 1""",Other Theft,Latchford,726
71,72,male,American,James,Davis,4314 5th Avenue,Brownvale,Alberta,T0H 0L0,Canada,MarkMDavis@rhyta.com,780-597-9424,11/25/1975,47,Milling and planing machine tender,Omni Architectural Designs,1996 Morgan Plus 4,B+,86.5,"5' 7""",Mischief,Mount Pleasant,7
72,73,male,American,Kim,Harper,1639 Eglinton Avenue,Toronto,Ontario,M4P 1A6,Canada,SaulLHarper@superrito.com,416-206-2408,6/18/1979,43,Biometrician,Brendle's,2005 Volvo V50,O+,110.3,"5' 10""",Theft from Vehicle,South Vancouver,98
73,74,male,American,Pamela,Hill,629 Reserve St,West Guilford,Ontario,K0M 2S0,Canada,JohnNHill@fleckens.hu,705-754-8798,10-04-2000,22,Numerical tool and process control programmer,Freedom Map,2004 Vauxhall Corsa,B+,102.7,"5' 6""",Mischief,Oakville,33
74,75,male,American,Raymond,McAnally,3698 47th Avenue,Grassland,Alberta,T0A 1V0,Canada,JasonAMcAnally@gustr.com,780-525-1873,4/30/1986,36,Lyricist,Brown Derby,2000 Audi S8,A+,104.7,"6' 2""",Break and Enter Residential/Other,Central,2198
75,76,female,American,Christina,Peek,3560 40th Street,Calgary,Alberta,T2E 7T6,Canada,SadeGPeek@rhyta.com,403-735-5189,1/20/1975,48,Magistrate,Eisner Food Stores,2004 GAZ 3111,O+,89.7,"5' 8""",Break and Enter Commercial,Central,9
76,77,female,American,Doris,Crumbley,460 A Avenue,Edmonton,Alberta,T5J 0K7,Canada,JeanLCrumbley@jourrapide.com,780-945-3838,10/17/1987,35,Gaming surveillance officer,Wise Solutions,2015 Honda CR-Z,AB+,99.1,"5' 5""",Theft from Vehicle,Grandview,53
77,78,male,American,Michael,Duarte,2134 Sunset Dr,Alexandra,Prince Edward Island,C1B 0P2,Canada,RichardDDuarte@armyspy.com,902-368-6403,4/18/1990,32,Conservation technician,Elm Farm,1998 Suzuki Baleno,O+,67.5,"5' 7""",Theft from Vehicle,Kitsilano,98
78,79,male,American,Caroline,Waddell,1942 Charleton Ave,Hamilton,Ontario,L8N 3X3,Canada,FrederickAWaddell@jourrapide.com,905-912-8539,05-06-1982,40,School librarian,Happy Bear Investment,1993 Nissan Cima,B+,104.6,"6' 0""",Theft from Vehicle,Oakville,47
79,80,female,American,Robert,Taylor,4478 Ross Street,Perth,Ontario,K7H 2S6,Canada,LourdesATaylor@teleworm.us,613-326-0257,12-07-1978,44,Office administrative assistant,Gamble-Skogmo,2007 Renault Laguna,O-,65.9,"5' 7""",Mischief,Kitsilano,2198
80,81,female,American,James,Aycock,893 Cordova Street,Vancouver,British Columbia,V6B 1E1,Canada,EstelleJAycock@cuvox.de,604-603-6767,12/18/1982,40,Supply manager,Rainbow Bay Crafts,1997 Fiat Ulysse,A+,71.1,"5' 3""",Mischief,Grandview,845
81,82,female,American,Daniel,Phillips,3014 Queens Sq,Hespeler,Ontario,N3C 1H3,Canada,SallyGPhillips@rhyta.com,519-222-8780,06-04-1984,38,Dot etcher,Bonanza Produce Stores,1998 Ferrari Maranello,O+,95.5,"5' 1""",Theft from Vehicle,Kitsilano,41
82,83,female,American,Scott,Brown,2025 No. 3 Road,Richmond,British Columbia,V6X 2B8,Canada,DorisSBrown@cuvox.de,604-304-2426,5/31/1987,35,Private accountant,Stratapro,2002 Daihatsu Move,B-,86.2,"5' 4""",Theft from Vehicle,Grandview,13
83,84,male,American,Bruce,Roberts,4133 Birkett Lane,Brantford,Ontario,N3T 2Z8,Canada,SteveNRoberts@armyspy.com,519-865-4414,11-08-1973,49,"Cleaning, washing, and metal pickling equipment operator",Fretter,1996 GAZ 3110,A+,66.8,"6' 1""",Theft from Vehicle,The West End,9
84,85,male,American,Liz,Blevins,3609 Sixth Street,New Westminister,British Columbia,V3L 3C1,Canada,OtisMBlevins@teleworm.us,604-788-9150,4/23/1998,24,Applications engineer,Dynatronics Accessories,2008 Pontiac G6,A+,67.9,"5' 10""",Theft from Vehicle,Latchford,787
85,86,male,American,Charles,Reiff,3191 100th St,Raymond,Alberta,T0K 2S0,Canada,MichaelGReiff@jourrapide.com,403-752-7604,4/17/1977,45,Enlisted personnel,Raleigh's,1997 Lada Niva,O+,74.1,"5' 9""",Theft from Vehicle,South Granville,35
86,87,female,American,Luis,Tucker,366 rue Fournier,Ste Therese,Quebec,J7C 2C7,Canada,PaulineJTucker@fleckens.hu,450-508-1777,06-01-1980,42,Agricultural laborer,Super Shops,2001 Chevrolet Astro,O+,87.6,"5' 2""",Theft from Vehicle,Oakville,13
87,88,male,American,Fred,Paige,4055 Lockhart Drive,Barrie,Ontario,L4M 3B1,Canada,MichaelPPaige@rhyta.com,705-722-2535,3/27/1986,36,Internist,Maxiserve ,1999 Daihatsu Move,O+,98.7,"6' 2""",Theft from Vehicle,Latchford,33
88,89,female,American,Mary,Dean,1369 Roger Street,Duncan,British Columbia,V9L 1P1,Canada,VickyCDean@superrito.com,250-746-7428,03-06-2000,22,CT technologist,Total Network Development,2012 Peugeot 4007,B+,72.6,"5' 5""",Mischief,Kitsilano,35
89,90,male,American,Mollie,Sparks,1061 Lock Street,Guelph,Ontario,N1H 2T2,Canada,MichaelKSparks@superrito.com,519-820-2014,09-06-1988,34,Staffing specialist,Strawberries,2002 MCC Crossblade,A-,74.0,"6' 1""",Theft from Vehicle,South Vancouver,5
90,91,male,American,Allen,Garcia,406 Lake City Way,Burnaby,British Columbia,V5A 2Z6,Canada,LeoOGarcia@einrot.com,778-886-2764,09-01-1979,43,Real estate asset manager,Destiny Planners,2004 Daihatsu Altis,O+,114.3,"5' 9""",Offence Against a Person,The West End,2198
91,92,female,American,Dwayne,Patterson,69 Tycos Dr,Toronto,Ontario,M5T 1T4,Canada,JanetLPatterson@einrot.com,416-595-9072,10-11-1972,50,Cosmetologist,BASCO,2001 Morgan 4,A+,96.3,"5' 0""",Theft from Vehicle,South Granville,645
92,93,male,American,Keith,Roberts,4444 Dominion St,Ingleside,Ontario,K0C 1M0,Canada,ScottyARoberts@teleworm.us,613-537-4433,6/29/1977,45,Administrative support specialist,Avant Garde Appraisal Group,1993 Ford Falcon,O+,78.0,"6' 0""",Theft from Vehicle,West Point Grey,8
93,94,male,American,Jennifer,Dowdle,3462 Pine Street,Ponoka,Alberta,T0C 2H0,Canada,TaylorADowdle@dayrep.com,403-704-5395,1/23/1977,46,Stock-control clerk,Musicland,2001 McLaren F1,O+,115.3,"5' 10""",Theft from Vehicle,South Granville,8
94,95,male,American,Barbara,Brown,1925 Haaglund Rd,Christina Lake,British Columbia,V0H 1E0,Canada,DanielABrown@rhyta.com,250-447-5984,10/17/1979,43,"Food and tobacco roasting, baking, and drying machine operator",Romp,2012 Audi S6,O+,64.6,"5' 11""",Theft from Vehicle,Latchford,2198
95,96,female,American,Retha,Hunter,4555 Hyde Park Road,London,Ontario,N6B 2Y4,Canada,SusanEHunter@einrot.com,519-964-3817,4/15/1972,50,Agronomist,Ellman's Catalog Showrooms,2005 Panoz Esperante,A+,50.8,"5' 3""",Theft from Vehicle,Mount Pleasant,13
96,97,male,American,Lillian,Sanders,3458 Merivale Road,Ottawa,Ontario,K2P 0K1,Canada,JamesJSanders@rhyta.com,613-255-2811,5/25/1983,39,Residence leasing agent,Exact Realty,2010 Volkswagen Eos,B+,84.0,"5' 10""",Theft from Vehicle,Central,193
97,98,male,American,Steven,Moore,2767 St. Paul Street,Niagara Falls,Ontario,L2E 4E6,Canada,EdwardRMoore@gustr.com,905-353-0231,3/17/1980,42,Political scientist,Giant,2001 Honda Passport,A+,68.8,"5' 9""",Theft from Vehicle,The West End,13
